Data,Hospital,Acronim,Grup_Edat,Genere,Infeccions,Risc_Contagi_Calc
2025-01-02,Hospital Josep Trueta,HJT,65+,Dona,5,0.0
2025-01-02,Hospital Josep Trueta,HJT,65+,Home,4,0.0
2025-01-03,Hospital Vall d'Hebron,HVD,0-14,Dona,0,5.56
2025-01-03,Hospital Vall d'Hebron,HVD,0-14,Home,2,5.56
2025-01-03,Hospital Vall d'Hebron,HVD,15-44,Dona,4,5.56
2025-01-03,Hospital Vall d'Hebron,HVD,15-44,Home,3,5.56
2025-01-03,Hospital Vall d'Hebron,HVD,45-64,Dona,2,5.56
2025-01-03,Hospital Vall d'Hebron,HVD,45-64,Home,2,5.56
2025-01-03,Hospital Vall d'Hebron,HVD,65+,Dona,2,5.56
2025-01-03,Hospital Vall d'Hebron,HVD,65+,Home,8,5.56
2025-01-03,Hospital Clínic,HC,0-14,Dona,0,1.78
2025-01-03,Hospital Clínic,HC,0-14,Home,1,1.78
2025-01-03,Hospital Clínic,HC,15-44,Dona,5,1.78
2025-01-03,Hospital Clínic,HC,15-44,Home,5,1.78
2025-01-03,Hospital Clínic,HC,45-64,Dona,2,1.78
2025-01-03,Hospital Clínic,HC,45-64,Home,2,1.78
2025-01-03,Hospital Clínic,HC,65+,Dona,7,1.78
2025-01-03,Hospital Clínic,HC,65+,Home,6,1.78
2025-01-03,Hospital Sant Pau,HSP,0-14,Dona,0,0.4
2025-01-03,Hospital Sant Pau,HSP,0-14,Home,0,0.4
2025-01-03,Hospital Sant Pau,HSP,15-44,Dona,1,0.4
2025-01-03,Hospital Sant Pau,HSP,15-44,Home,1,0.4
2025-01-03,Hospital Sant Pau,HSP,45-64,Dona,4,0.4
2025-01-03,Hospital Sant Pau,HSP,45-64,Home,0,0.4
2025-01-03,Hospital Sant Pau,HSP,65+,Dona,5,0.4
2025-01-03,Hospital Sant Pau,HSP,65+,Home,4,0.4
2025-01-03,Hospital Bellvitge,HB,0-14,Dona,0,0.06
2025-01-03,Hospital Bellvitge,HB,0-14,Home,0,0.06
2025-01-03,Hospital Bellvitge,HB,15-44,Dona,1,0.06
2025-01-03,Hospital Bellvitge,HB,15-44,Home,1,0.06
2025-01-03,Hospital Bellvitge,HB,45-64,Dona,0,0.06
2025-01-03,Hospital Bellvitge,HB,45-64,Home,0,0.06
2025-01-03,Hospital Bellvitge,HB,65+,Dona,5,0.06
2025-01-03,Hospital Bellvitge,HB,65+,Home,4,0.06
2025-01-03,Hospital Can Ruti,HCR,0-14,Dona,0,0.01
2025-01-03,Hospital Can Ruti,HCR,0-14,Home,0,0.01
2025-01-03,Hospital Can Ruti,HCR,15-44,Dona,2,0.01
2025-01-03,Hospital Can Ruti,HCR,15-44,Home,0,0.01
2025-01-03,Hospital Can Ruti,HCR,45-64,Dona,4,0.01
2025-01-03,Hospital Can Ruti,HCR,45-64,Home,0,0.01
2025-01-03,Hospital Can Ruti,HCR,65+,Dona,3,0.01
2025-01-03,Hospital Can Ruti,HCR,65+,Home,1,0.01
2025-01-03,Hospital Arnau de Vilanova,HAV,0-14,Dona,1,0.0
2025-01-03,Hospital Arnau de Vilanova,HAV,0-14,Home,2,0.0
2025-01-03,Hospital Arnau de Vilanova,HAV,15-44,Dona,3,0.0
2025-01-03,Hospital Arnau de Vilanova,HAV,15-44,Home,2,0.0
2025-01-03,Hospital Arnau de Vilanova,HAV,45-64,Dona,2,0.0
2025-01-03,Hospital Arnau de Vilanova,HAV,45-64,Home,2,0.0
2025-01-03,Hospital Arnau de Vilanova,HAV,65+,Dona,3,0.0
2025-01-03,Hospital Arnau de Vilanova,HAV,65+,Home,0,0.0
2025-01-03,Hospital Josep Trueta,HJT,0-14,Dona,1,0.0
2025-01-03,Hospital Josep Trueta,HJT,0-14,Home,0,0.0
2025-01-03,Hospital Josep Trueta,HJT,15-44,Dona,3,0.0
2025-01-03,Hospital Josep Trueta,HJT,15-44,Home,1,0.0
2025-01-03,Hospital Josep Trueta,HJT,45-64,Dona,4,0.0
2025-01-03,Hospital Josep Trueta,HJT,45-64,Home,3,0.0
2025-01-03,Hospital Josep Trueta,HJT,65+,Dona,4,0.0
2025-01-03,Hospital Josep Trueta,HJT,65+,Home,10,0.0
2025-01-04,Hospital Vall d'Hebron,HVD,0-14,Dona,2,7.51
2025-01-04,Hospital Vall d'Hebron,HVD,0-14,Home,2,7.51
2025-01-04,Hospital Vall d'Hebron,HVD,15-44,Dona,3,7.51
2025-01-04,Hospital Vall d'Hebron,HVD,15-44,Home,3,7.51
2025-01-04,Hospital Vall d'Hebron,HVD,45-64,Dona,2,7.51
2025-01-04,Hospital Vall d'Hebron,HVD,45-64,Home,0,7.51
2025-01-04,Hospital Vall d'Hebron,HVD,65+,Dona,8,7.51
2025-01-04,Hospital Vall d'Hebron,HVD,65+,Home,3,7.51
2025-01-04,Hospital Clínic,HC,0-14,Dona,1,2.71
2025-01-04,Hospital Clínic,HC,0-14,Home,0,2.71
2025-01-04,Hospital Clínic,HC,15-44,Dona,8,2.71
2025-01-04,Hospital Clínic,HC,15-44,Home,4,2.71
2025-01-04,Hospital Clínic,HC,45-64,Dona,5,2.71
2025-01-04,Hospital Clínic,HC,45-64,Home,1,2.71
2025-01-04,Hospital Clínic,HC,65+,Dona,2,2.71
2025-01-04,Hospital Clínic,HC,65+,Home,4,2.71
2025-01-04,Hospital Sant Pau,HSP,0-14,Dona,3,0.68
2025-01-04,Hospital Sant Pau,HSP,0-14,Home,0,0.68
2025-01-04,Hospital Sant Pau,HSP,15-44,Dona,0,0.68
2025-01-04,Hospital Sant Pau,HSP,15-44,Home,1,0.68
2025-01-04,Hospital Sant Pau,HSP,45-64,Dona,1,0.68
2025-01-04,Hospital Sant Pau,HSP,45-64,Home,1,0.68
2025-01-04,Hospital Sant Pau,HSP,65+,Dona,4,0.68
2025-01-04,Hospital Sant Pau,HSP,65+,Home,3,0.68
2025-01-04,Hospital Bellvitge,HB,0-14,Dona,0,0.12
2025-01-04,Hospital Bellvitge,HB,0-14,Home,1,0.12
2025-01-04,Hospital Bellvitge,HB,15-44,Dona,1,0.12
2025-01-04,Hospital Bellvitge,HB,15-44,Home,0,0.12
2025-01-04,Hospital Bellvitge,HB,45-64,Dona,1,0.12
2025-01-04,Hospital Bellvitge,HB,45-64,Home,2,0.12
2025-01-04,Hospital Bellvitge,HB,65+,Dona,4,0.12
2025-01-04,Hospital Bellvitge,HB,65+,Home,0,0.12
2025-01-04,Hospital Can Ruti,HCR,0-14,Dona,1,0.01
2025-01-04,Hospital Can Ruti,HCR,0-14,Home,0,0.01
2025-01-04,Hospital Can Ruti,HCR,15-44,Dona,1,0.01
2025-01-04,Hospital Can Ruti,HCR,15-44,Home,1,0.01
2025-01-04,Hospital Can Ruti,HCR,45-64,Dona,2,0.01
2025-01-04,Hospital Can Ruti,HCR,45-64,Home,2,0.01
2025-01-04,Hospital Can Ruti,HCR,65+,Dona,3,0.01
2025-01-04,Hospital Can Ruti,HCR,65+,Home,4,0.01
2025-01-04,Hospital Arnau de Vilanova,HAV,0-14,Dona,0,0.0
2025-01-04,Hospital Arnau de Vilanova,HAV,0-14,Home,0,0.0
2025-01-04,Hospital Arnau de Vilanova,HAV,15-44,Dona,2,0.0
2025-01-04,Hospital Arnau de Vilanova,HAV,15-44,Home,1,0.0
2025-01-04,Hospital Arnau de Vilanova,HAV,45-64,Dona,1,0.0
2025-01-04,Hospital Arnau de Vilanova,HAV,45-64,Home,0,0.0
2025-01-04,Hospital Arnau de Vilanova,HAV,65+,Dona,0,0.0
2025-01-04,Hospital Arnau de Vilanova,HAV,65+,Home,0,0.0
2025-01-04,Hospital Josep Trueta,HJT,0-14,Dona,1,0.0
2025-01-04,Hospital Josep Trueta,HJT,0-14,Home,2,0.0
2025-01-04,Hospital Josep Trueta,HJT,15-44,Dona,0,0.0
2025-01-04,Hospital Josep Trueta,HJT,15-44,Home,1,0.0
2025-01-04,Hospital Josep Trueta,HJT,45-64,Dona,1,0.0
2025-01-04,Hospital Josep Trueta,HJT,45-64,Home,3,0.0
2025-01-04,Hospital Josep Trueta,HJT,65+,Dona,5,0.0
2025-01-04,Hospital Josep Trueta,HJT,65+,Home,4,0.0
2025-01-05,Hospital Vall d'Hebron,HVD,0-14,Dona,3,9.74
2025-01-05,Hospital Vall d'Hebron,HVD,0-14,Home,3,9.74
2025-01-05,Hospital Vall d'Hebron,HVD,15-44,Dona,0,9.74
2025-01-05,Hospital Vall d'Hebron,HVD,15-44,Home,3,9.74
2025-01-05,Hospital Vall d'Hebron,HVD,45-64,Dona,3,9.74
2025-01-05,Hospital Vall d'Hebron,HVD,45-64,Home,2,9.74
2025-01-05,Hospital Vall d'Hebron,HVD,65+,Dona,8,9.74
2025-01-05,Hospital Vall d'Hebron,HVD,65+,Home,8,9.74
2025-01-05,Hospital Clínic,HC,0-14,Dona,1,3.96
2025-01-05,Hospital Clínic,HC,0-14,Home,0,3.96
2025-01-05,Hospital Clínic,HC,15-44,Dona,0,3.96
2025-01-05,Hospital Clínic,HC,15-44,Home,1,3.96
2025-01-05,Hospital Clínic,HC,45-64,Dona,0,3.96
2025-01-05,Hospital Clínic,HC,45-64,Home,4,3.96
2025-01-05,Hospital Clínic,HC,65+,Dona,4,3.96
2025-01-05,Hospital Clínic,HC,65+,Home,9,3.96
2025-01-05,Hospital Sant Pau,HSP,0-14,Dona,1,1.12
2025-01-05,Hospital Sant Pau,HSP,0-14,Home,0,1.12
2025-01-05,Hospital Sant Pau,HSP,15-44,Dona,1,1.12
2025-01-05,Hospital Sant Pau,HSP,15-44,Home,3,1.12
2025-01-05,Hospital Sant Pau,HSP,45-64,Dona,0,1.12
2025-01-05,Hospital Sant Pau,HSP,45-64,Home,0,1.12
2025-01-05,Hospital Sant Pau,HSP,65+,Dona,5,1.12
2025-01-05,Hospital Sant Pau,HSP,65+,Home,2,1.12
2025-01-05,Hospital Bellvitge,HB,0-14,Dona,1,0.22
2025-01-05,Hospital Bellvitge,HB,0-14,Home,0,0.22
2025-01-05,Hospital Bellvitge,HB,15-44,Dona,2,0.22
2025-01-05,Hospital Bellvitge,HB,15-44,Home,0,0.22
2025-01-05,Hospital Bellvitge,HB,45-64,Dona,2,0.22
2025-01-05,Hospital Bellvitge,HB,45-64,Home,1,0.22
2025-01-05,Hospital Bellvitge,HB,65+,Dona,0,0.22
2025-01-05,Hospital Bellvitge,HB,65+,Home,0,0.22
2025-01-05,Hospital Can Ruti,HCR,0-14,Dona,1,0.03
2025-01-05,Hospital Can Ruti,HCR,0-14,Home,0,0.03
2025-01-05,Hospital Can Ruti,HCR,15-44,Dona,0,0.03
2025-01-05,Hospital Can Ruti,HCR,15-44,Home,2,0.03
2025-01-05,Hospital Can Ruti,HCR,45-64,Dona,1,0.03
2025-01-05,Hospital Can Ruti,HCR,45-64,Home,2,0.03
2025-01-05,Hospital Can Ruti,HCR,65+,Dona,2,0.03
2025-01-05,Hospital Can Ruti,HCR,65+,Home,1,0.03
2025-01-05,Hospital Arnau de Vilanova,HAV,0-14,Dona,0,0.0
2025-01-05,Hospital Arnau de Vilanova,HAV,0-14,Home,0,0.0
2025-01-05,Hospital Arnau de Vilanova,HAV,15-44,Dona,1,0.0
2025-01-05,Hospital Arnau de Vilanova,HAV,15-44,Home,1,0.0
2025-01-05,Hospital Arnau de Vilanova,HAV,45-64,Dona,0,0.0
2025-01-05,Hospital Arnau de Vilanova,HAV,45-64,Home,3,0.0
2025-01-05,Hospital Arnau de Vilanova,HAV,65+,Dona,3,0.0
2025-01-05,Hospital Arnau de Vilanova,HAV,65+,Home,4,0.0
2025-01-05,Hospital Josep Trueta,HJT,0-14,Dona,1,0.0
2025-01-05,Hospital Josep Trueta,HJT,0-14,Home,0,0.0
2025-01-05,Hospital Josep Trueta,HJT,15-44,Dona,0,0.0
2025-01-05,Hospital Josep Trueta,HJT,15-44,Home,1,0.0
2025-01-05,Hospital Josep Trueta,HJT,45-64,Dona,1,0.0
2025-01-05,Hospital Josep Trueta,HJT,45-64,Home,1,0.0
2025-01-05,Hospital Josep Trueta,HJT,65+,Dona,4,0.0
2025-01-05,Hospital Josep Trueta,HJT,65+,Home,3,0.0
2025-01-06,Hospital Vall d'Hebron,HVD,0-14,Dona,3,12.13
2025-01-06,Hospital Vall d'Hebron,HVD,0-14,Home,0,12.13
2025-01-06,Hospital Vall d'Hebron,HVD,15-44,Dona,4,12.13
2025-01-06,Hospital Vall d'Hebron,HVD,15-44,Home,4,12.13
2025-01-06,Hospital Vall d'Hebron,HVD,45-64,Dona,2,12.13
2025-01-06,Hospital Vall d'Hebron,HVD,45-64,Home,1,12.13
2025-01-06,Hospital Vall d'Hebron,HVD,65+,Dona,7,12.13
2025-01-06,Hospital Vall d'Hebron,HVD,65+,Home,10,12.13
2025-01-06,Hospital Clínic,HC,0-14,Dona,1,5.56
2025-01-06,Hospital Clínic,HC,0-14,Home,1,5.56
2025-01-06,Hospital Clínic,HC,15-44,Dona,2,5.56
2025-01-06,Hospital Clínic,HC,15-44,Home,2,5.56
2025-01-06,Hospital Clínic,HC,45-64,Dona,0,5.56
2025-01-06,Hospital Clínic,HC,45-64,Home,4,5.56
2025-01-06,Hospital Clínic,HC,65+,Dona,6,5.56
2025-01-06,Hospital Clínic,HC,65+,Home,7,5.56
2025-01-06,Hospital Sant Pau,HSP,0-14,Dona,1,1.78
2025-01-06,Hospital Sant Pau,HSP,0-14,Home,1,1.78
2025-01-06,Hospital Sant Pau,HSP,15-44,Dona,1,1.78
2025-01-06,Hospital Sant Pau,HSP,15-44,Home,2,1.78
2025-01-06,Hospital Sant Pau,HSP,45-64,Dona,0,1.78
2025-01-06,Hospital Sant Pau,HSP,45-64,Home,1,1.78
2025-01-06,Hospital Sant Pau,HSP,65+,Dona,2,1.78
2025-01-06,Hospital Sant Pau,HSP,65+,Home,0,1.78
2025-01-06,Hospital Bellvitge,HB,0-14,Dona,0,0.4
2025-01-06,Hospital Bellvitge,HB,0-14,Home,0,0.4
2025-01-06,Hospital Bellvitge,HB,15-44,Dona,3,0.4
2025-01-06,Hospital Bellvitge,HB,15-44,Home,1,0.4
2025-01-06,Hospital Bellvitge,HB,45-64,Dona,3,0.4
2025-01-06,Hospital Bellvitge,HB,45-64,Home,0,0.4
2025-01-06,Hospital Bellvitge,HB,65+,Dona,1,0.4
2025-01-06,Hospital Bellvitge,HB,65+,Home,0,0.4
2025-01-06,Hospital Can Ruti,HCR,0-14,Dona,1,0.06
2025-01-06,Hospital Can Ruti,HCR,0-14,Home,0,0.06
2025-01-06,Hospital Can Ruti,HCR,15-44,Dona,0,0.06
2025-01-06,Hospital Can Ruti,HCR,15-44,Home,1,0.06
2025-01-06,Hospital Can Ruti,HCR,45-64,Dona,3,0.06
2025-01-06,Hospital Can Ruti,HCR,45-64,Home,1,0.06
2025-01-06,Hospital Can Ruti,HCR,65+,Dona,4,0.06
2025-01-06,Hospital Can Ruti,HCR,65+,Home,3,0.06
2025-01-06,Hospital Arnau de Vilanova,HAV,0-14,Dona,0,0.01
2025-01-06,Hospital Arnau de Vilanova,HAV,0-14,Home,0,0.01
2025-01-06,Hospital Arnau de Vilanova,HAV,15-44,Dona,0,0.01
2025-01-06,Hospital Arnau de Vilanova,HAV,15-44,Home,0,0.01
2025-01-06,Hospital Arnau de Vilanova,HAV,45-64,Dona,2,0.01
2025-01-06,Hospital Arnau de Vilanova,HAV,45-64,Home,0,0.01
2025-01-06,Hospital Arnau de Vilanova,HAV,65+,Dona,5,0.01
2025-01-06,Hospital Arnau de Vilanova,HAV,65+,Home,0,0.01
2025-01-06,Hospital Josep Trueta,HJT,0-14,Dona,2,0.0
2025-01-06,Hospital Josep Trueta,HJT,0-14,Home,0,0.0
2025-01-06,Hospital Josep Trueta,HJT,15-44,Dona,1,0.0
2025-01-06,Hospital Josep Trueta,HJT,15-44,Home,1,0.0
2025-01-06,Hospital Josep Trueta,HJT,45-64,Dona,1,0.0
2025-01-06,Hospital Josep Trueta,HJT,45-64,Home,1,0.0
2025-01-06,Hospital Josep Trueta,HJT,65+,Dona,4,0.0
2025-01-06,Hospital Josep Trueta,HJT,65+,Home,3,0.0
2025-01-07,Hospital Vall d'Hebron,HVD,0-14,Dona,2,14.52
2025-01-07,Hospital Vall d'Hebron,HVD,0-14,Home,0,14.52
2025-01-07,Hospital Vall d'Hebron,HVD,15-44,Dona,2,14.52
2025-01-07,Hospital Vall d'Hebron,HVD,15-44,Home,2,14.52
2025-01-07,Hospital Vall d'Hebron,HVD,45-64,Dona,3,14.52
2025-01-07,Hospital Vall d'Hebron,HVD,45-64,Home,3,14.52
2025-01-07,Hospital Vall d'Hebron,HVD,65+,Dona,7,14.52
2025-01-07,Hospital Vall d'Hebron,HVD,65+,Home,6,14.52
2025-01-07,Hospital Clínic,HC,0-14,Dona,0,7.51
2025-01-07,Hospital Clínic,HC,0-14,Home,1,7.51
2025-01-07,Hospital Clínic,HC,15-44,Dona,0,7.51
2025-01-07,Hospital Clínic,HC,15-44,Home,1,7.51
2025-01-07,Hospital Clínic,HC,45-64,Dona,1,7.51
2025-01-07,Hospital Clínic,HC,45-64,Home,4,7.51
2025-01-07,Hospital Clínic,HC,65+,Dona,3,7.51
2025-01-07,Hospital Clínic,HC,65+,Home,7,7.51
2025-01-07,Hospital Sant Pau,HSP,0-14,Dona,0,2.71
2025-01-07,Hospital Sant Pau,HSP,0-14,Home,0,2.71
2025-01-07,Hospital Sant Pau,HSP,15-44,Dona,1,2.71
2025-01-07,Hospital Sant Pau,HSP,15-44,Home,0,2.71
2025-01-07,Hospital Sant Pau,HSP,45-64,Dona,2,2.71
2025-01-07,Hospital Sant Pau,HSP,45-64,Home,4,2.71
2025-01-07,Hospital Sant Pau,HSP,65+,Dona,0,2.71
2025-01-07,Hospital Sant Pau,HSP,65+,Home,3,2.71
2025-01-07,Hospital Bellvitge,HB,0-14,Dona,0,0.68
2025-01-07,Hospital Bellvitge,HB,0-14,Home,0,0.68
2025-01-07,Hospital Bellvitge,HB,15-44,Dona,0,0.68
2025-01-07,Hospital Bellvitge,HB,15-44,Home,2,0.68
2025-01-07,Hospital Bellvitge,HB,45-64,Dona,2,0.68
2025-01-07,Hospital Bellvitge,HB,45-64,Home,1,0.68
2025-01-07,Hospital Bellvitge,HB,65+,Dona,0,0.68
2025-01-07,Hospital Bellvitge,HB,65+,Home,7,0.68
2025-01-07,Hospital Can Ruti,HCR,0-14,Dona,0,0.12
2025-01-07,Hospital Can Ruti,HCR,0-14,Home,0,0.12
2025-01-07,Hospital Can Ruti,HCR,15-44,Dona,2,0.12
2025-01-07,Hospital Can Ruti,HCR,15-44,Home,2,0.12
2025-01-07,Hospital Can Ruti,HCR,45-64,Dona,0,0.12
2025-01-07,Hospital Can Ruti,HCR,45-64,Home,1,0.12
2025-01-07,Hospital Can Ruti,HCR,65+,Dona,3,0.12
2025-01-07,Hospital Can Ruti,HCR,65+,Home,6,0.12
2025-01-07,Hospital Arnau de Vilanova,HAV,0-14,Dona,0,0.01
2025-01-07,Hospital Arnau de Vilanova,HAV,0-14,Home,0,0.01
2025-01-07,Hospital Arnau de Vilanova,HAV,15-44,Dona,0,0.01
2025-01-07,Hospital Arnau de Vilanova,HAV,15-44,Home,0,0.01
2025-01-07,Hospital Arnau de Vilanova,HAV,45-64,Dona,0,0.01
2025-01-07,Hospital Arnau de Vilanova,HAV,45-64,Home,0,0.01
2025-01-07,Hospital Arnau de Vilanova,HAV,65+,Dona,0,0.01
2025-01-07,Hospital Arnau de Vilanova,HAV,65+,Home,0,0.01
2025-01-07,Hospital Josep Trueta,HJT,0-14,Dona,4,0.0
2025-01-07,Hospital Josep Trueta,HJT,0-14,Home,0,0.0
2025-01-07,Hospital Josep Trueta,HJT,15-44,Dona,1,0.0
2025-01-07,Hospital Josep Trueta,HJT,15-44,Home,0,0.0
